Contestant Key,Season,Position,Location,Name,Age,Sex,Partner,Kids,Weight,City,State/Province,Country,Duration,Reason for leaving,Reason1,Reason2,Items
11,2,2,"Quatsino, British Columbia, Canada",Larry Roberts,44,Male,Yes,Yes,Medium,Rush City,Minnesota,United States,64,Hunger and mental breakdown,Food,Environment,Gill net
11,2,2,"Quatsino, British Columbia, Canada",Larry Roberts,44,Male,Yes,Yes,Medium,Rush City,Minnesota,United States,64,Hunger and mental breakdown,Food,Environment,Paracord
11,2,2,"Quatsino, British Columbia, Canada",Larry Roberts,44,Male,Yes,Yes,Medium,Rush City,Minnesota,United States,64,Hunger and mental breakdown,Food,Environment,Food ration
12,2,3,"Quatsino, British Columbia, Canada",Jose Martinez Amoedo,45,Male,Yes,Yes,Light,Santa Pola,Valencia,Spain,59,Fell off kayak into river,Cold,Mistake,Knife
12,2,3,"Quatsino, British Columbia, Canada",Jose Martinez Amoedo,45,Male,Yes,Yes,Light,Santa Pola,Valencia,Spain,59,Fell off kayak into river,Cold,Mistake,Ferro rod
12,2,3,"Quatsino, British Columbia, Canada",Jose Martinez Amoedo,45,Male,Yes,Yes,Light,Santa Pola,Valencia,Spain,59,Fell off kayak into river,Cold,Mistake,Pot
12,2,3,"Quatsino, British Columbia, Canada",Jose Martinez Amoedo,45,Male,Yes,Yes,Light,Santa Pola,Valencia,Spain,59,Fell off kayak into river,Cold,Mistake,Fishing line and hooks
12,2,3,"Quatsino, British Columbia, Canada",Jose Martinez Amoedo,45,Male,Yes,Yes,Light,Santa Pola,Valencia,Spain,59,Fell off kayak into river,Cold,Mistake,Saw
12,2,3,"Quatsino, British Columbia, Canada",Jose Martinez Amoedo,45,Male,Yes,Yes,Light,Santa Pola,Valencia,Spain,59,Fell off kayak into river,Cold,Mistake,Axe
12,2,3,"Quatsino, British Columbia, Canada",Jose Martinez Amoedo,45,Male,Yes,Yes,Light,Santa Pola,Valencia,Spain,59,Fell off kayak into river,Cold,Mistake,Sleeping bag
12,2,3,"Quatsino, British Columbia, Canada",Jose Martinez Amoedo,45,Male,Yes,Yes,Light,Santa Pola,Valencia,Spain,59,Fell off kayak into river,Cold,Mistake,Gill net
12,2,3,"Quatsino, British Columbia, Canada",Jose Martinez Amoedo,45,Male,Yes,Yes,Light,Santa Pola,Valencia,Spain,59,Fell off kayak into river,Cold,Mistake,Multitool
12,2,3,"Quatsino, British Columbia, Canada",Jose Martinez Amoedo,45,Male,Yes,Yes,Light,Santa Pola,Valencia,Spain,59,Fell off kayak into river,Cold,Mistake,Food ration
13,2,4,"Quatsino, British Columbia, Canada",Nicole Apelian,45,Female,Yes,Yes,Light,Portland,Oregon,United States,57,Missed her kids,Lonely,Mental,Knife
13,2,4,"Quatsino, British Columbia, Canada",Nicole Apelian,45,Female,Yes,Yes,Light,Portland,Oregon,United States,57,Missed her kids,Lonely,Mental,Ferro rod
13,2,4,"Quatsino, British Columbia, Canada",Nicole Apelian,45,Female,Yes,Yes,Light,Portland,Oregon,United States,57,Missed her kids,Lonely,Mental,Frying pan
13,2,4,"Quatsino, British Columbia, Canada",Nicole Apelian,45,Female,Yes,Yes,Light,Portland,Oregon,United States,57,Missed her kids,Lonely,Mental,Fishing line and hooks
