Contestant Key,Season,Position,Location,Name,Age,Sex,Partner,Kids,Weight,Experience,Experience 1,Experience 2,Experience 3,Experience 4,City,State/Province,Country,Duration,Reason for leaving,Reason1,Reason2,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,,,,,,,,,
55,7,6,"Great Slave Lake, Northwest Territory, Canada",Joe Nicholas,31,Male,No,No,Light,Biologist,Plant Experience,Firefighter,,,Redding,California,United States,44,Starvation,Food,Environment,Paracord,Pot,Fishing line and hooks,Snare wire,Canteen,Sleeping bag,Saw,Axe,Knife,Ferro rod,,,,,,,,,
56,7,7,"Great Slave Lake, Northwest Territory, Canada",Joel Van Der Loon,34,Male,Yes,Yes,Light,Primitive Skills School Owner,Survival School,Hunter,,,Sisters,Oregon,United States,40,Starvation,Food,Environment,Saw,Bow and arrows,Fishing line and hooks,Snare wire,Axe,Multitool,Ferro rod,Pot,Sleeping bag,Gill net,,,,,,,,,
57,7,8,"Great Slave Lake, Northwest Territory, Canada",Keith Syers,45,Male,Yes,Yes,Medium,Homesteader,Rural Living,Hunter,,,Sturgis,Kentucky,United States,22,"Food poisoning, infection",Injury,Mistake,Knife,Axe,Bow and arrows,Pot,Ferro rod,Multitool,Fishing line and hooks,Sleeping bag,Paracord,Snare wire,,,,,,,,,
58,7,9,"Great Slave Lake, Northwest Territory, Canada",Correy Hawk,30,Male,No,No,Medium,"Marines, archer",Hunter,Military,,,Plattsmouth,Nebraska,United States,12,"Torn Meniscus, partially torn MCL",Injury,Mistake,Sleeping bag,Pot,Ferro rod,Fishing line and hooks,Bow and arrows,Snare wire,Multitool,Paracord,Saw,Axe,,,,,,,,,
59,7,10,"Great Slave Lake, Northwest Territory, Canada",Shawn Helton,43,Male,Yes,Yes,Medium,Bushcraft,Bushcrafting,Survival School,,,Henry,Tennessee,United States,10,Lost fire starter,Lack of Fire,Mistake,Ferro rod,Sleeping bag,Saw,Axe,Multitool,Paracord,Fishing line and hooks,Cooking pot,Scotch eyed auger,Bow and arrows,,,,,,,,,
60,8,1,"Chilko Lake, British Columbia, Canada",Clay Hayes,40,Male,Yes,Yes,Light,Professional Bowyer & Hunter,Hunter,Plant Experience,Rural Living,,Kendrick,Idaho,United States,74,Victor,Won,Won,Sleeping bag,Pot,Axe,Saw,Multitool,Bow and arrows,Paracord,Fishing line and hooks,Snare wire,Ferro rod,,,,,,,,,
61,8,2,"Chilko Lake, British Columbia, Canada",Biko Wright,29,Male,Yes,Yes,Heavy,Construction / Singer,Rural Living,,,,Otis,Oregon,United States,73,"Starvation, heart palpitations",Food,Environment,Pot,Sleeping bag,Ferro rod,Multitool,Axe,Saw,Fishing line and hooks,Snare wire,Paracord,Bow and arrows,,,,,,,,,
62,8,3,"Chilko Lake, British Columbia, Canada",Theresa Emmerich Kamper,40,Female,No,No,LIght,Prehistoric Leather Specialist,Bushcrafting,,,,Exeter,England,United Kingdom,69,"Low BMI, lost too much weight",Food,Environment,Sleeping bag,Pot,Knife,Saw,Food ration,Ferro rod,Snare wire,Fishing line and hooks,Bow and arrows,Paracord,,,,,,,,,
63,8,4,"Chilko Lake, British Columbia, Canada",Colter Barnes,36,Male,No,No,Heavy,Homesteader & Educator,Rural Living,Survival School,,,Inian Islands,Alaska,United States,67,"Low BMI, lost too much weight",Food,Environment,Sleeping bag,Pot,Axe,Saw,Tarp,Bow and arrows,Snare wire,Fishing line and hooks,Multitool,Paracord,,,,,,,,,
64,8,5,"Chilko Lake, British Columbia, Canada",Rose Anna Moore,43,Female,No,Yes,Light,Sporting Goods owner,Hunter,Plant Experience,,,Wellsboro,Pennsylvania,United States,37,"Frostbite, malnutrition",Injury,Environment,Bow and arrows,Sleeping bag,Multitool,Fishing line and hooks,Pot,Snare wire,Paracord,Saw,Axe,Ferro rod,,,,,,,,,
